BCODE,Basin_Name,Continent_,Area_km2,Pop_2007,PopDen2007,Pop_2012,PopDen2012,Pop_2015,PopDen2015,Pop_2020,PopDen2020,Dams_Exist,Dam_Plnd,Dam_Plnd20,runoff,withdrawal,consumptio,HydroPolTe,NumberRipa,Riparian_C,Count_of_T,Count_of_R,Wetlands_k,Events__19,Paired_Int,EstDam24,Pop_2022,PopDen2022
GLOK,Golok,AS,2320,613102,264,645282,278,693220,299,674907,291,0,0,0.000000000000000,1310,700,240,3,2,"Malaysia, Thailand",1.000000000000000,0.000000000000000,73.150855753599998,3.000000000000000,3.000000000000000,2.000000000000000,416463.0000000,180
GOSR,Goascoran,NA,2746,380266,138,312648,114,249156,91,234304,85,0,0,0.000000000000000,430,20,0,3,2,"El Salvador, Honduras",0.000000000000000,0.000000000000000,28.962586559500000,1.000000000000000,1.000000000000000,0.000000000000000,200974.0000000,73
GRON,Garonne,EU,81276,5263747,65,5605565,69,5264074,65,5473663,67,34,0,0.000000000000000,450,7120,2010,1,3,"Andorra, France, Spain",5.000000000000000,1.000000000000000,403.808685599999990,0.000000000000000,0.000000000000000,204.000000000000000,5592820.0000000,69
GRYE,Gruzskiy Yelanchik,EU,1244,31044,25,20750,17,35210,28,33612,27,0,0,0.000000000000000,null,null,null,N/A,2,"Ukraine, Russian Federation",2.000000000000000,0.000000000000000,8.078917643270000,0.000000000000000,0.000000000000000,0.000000000000000,16958.8007812,14
GSCR,Great Scarcies,AF,7832,822515,105,784529,100,678424,87,744586,95,0,0,0.000000000000000,1710,40,10,2,2,"Guinea, Sierra Leone",3.000000000000000,0.000000000000000,169.785059308000001,0.000000000000000,0.000000000000000,0.000000000000000,684993.0000000,87
GUDN,Guadiana,EU,67060,1925405,29,2066654,31,1716816,26,1665324,25,23,0,0.000000000000000,170,8610,4930,1,2,"Portugal, Spain",6.000000000000000,1.000000000000000,650.165890966999996,14.000000000000000,14.000000000000000,65.000000000000000,1602490.0000000,24
GUIR,Guir,AF,108733,508823,5,609789,6,573241,5,613601,6,2,0,0.000000000000000,30,250,140,3,2,"Algeria, Morocco",0.000000000000000,0.000000000000000,34.914565477300002,0.000000000000000,0.000000000000000,3.000000000000000,632457.0000000,6
GUJA,Gauja,EU,9207,133495,14,129163,14,123645,13,119135,13,0,0,0.000000000000000,390,20,10,3,2,"Estonia, Latvia",0.000000000000000,0.000000000000000,232.996612016000000,1.000000000000000,1.000000000000000,0.000000000000000,149948.0000000,16
HANX,Han,AS,33378,21630840,648,21494004,644,19304888,578,19580395,587,17,0,0.000000000000000,590,11630,1610,3,2,"Dem People's Rep of Korea, Republic of Korea",0.000000000000000,0.000000000000000,444.554497018999996,14.000000000000000,14.000000000000000,59.000000000000000,19393200.0000000,581
HARI,Hari/Harirud,AS,119096,6633016,56,7956379,67,7069263,59,7845040,66,1,0,0.000000000000000,70,19130,9800,3,3,"Afghanistan, Iran  (Islamic Republic of), Turkmenistan",4.000000000000000,1.000000000000000,229.949280343999988,7.000000000000000,7.000000000000000,10.000000000000000,10082400.0000000,85
HIMR,Hamun-i-Mashkel/Rakshan,AS,116505,1099375,9,1289338,11,1023416,9,998128,9,0,0,0.000000000000000,50,2090,720,3,2,"Iran  (Islamic Republic of), Pakistan",0.000000000000000,0.000000000000000,0.195995090812000,0.000000000000000,0.000000000000000,1.000000000000000,1071880.0000000,9
HLMD,Helmand,AS,403043,14763878,37,14320274,36,11868951,29,12642419,31,2,0,1.000000000000000,80,40730,15340,2,3,"Afghanistan, Iran  (Islamic Republic of), Pakistan",3.000000000000000,1.000000000000000,125.665780385999994,25.000000000000000,27.000000000000000,4.000000000000000,12932400.0000000,32
HOND,Hondo,NA,12699,111170,9,137022,11,206867,16,224898,18,0,0,0.000000000000000,240,100,40,2,3,"Belize, Guatemala, Mexico",2.000000000000000,1.000000000000000,206.158612240999986,0.000000000000000,0.000000000000000,1.000000000000000,98652.2031250,8
HRUN,Har Us Nur,AS,187177,318627,2,277488,1,180927,1,164138,1,0,0,0.000000000000000,20,320,100,3,2,"Mongolia, Russian Federation",3.000000000000000,0.000000000000000,7582.637689850000243,3.000000000000000,3.000000000000000,1.000000000000000,213133.0000000,1
HSIX,Zhu Jiang/Hsi,AS,401083,104949120,262,105724601,264,95380078,238,96308803,240,49,4,23.000000000000000,730,44110,13020,5,2,"China, Viet Nam",3.000000000000000,0.000000000000000,3645.532208520000040,0.000000000000000,0.000000000000000,924.000000000000000,79651200.0000000,199
ICMT,Incomati,AF,46630,2946944,63,3268700,70,3121426,67,3307396,71,15,2,1.000000000000000,110,670,270,2,3,"Eswatini, Mozambique, South Africa",8.000000000000000,4.000000000000000,288.634914416000015,11.000000000000000,22.000000000000000,65.000000000000000,2686380.0000000,58
ILIX,Ili/Yili He,AS,414939,5628760,14,6661048,16,6266056,15,6597330,16,1,1,9.000000000000000,50,15870,7120,3,3,"China, Kazakhstan, Kyrgyzstan",17.000000000000000,0.000000000000000,24634.559461799999553,11.000000000000000,13.000000000000000,43.000000000000000,6969500.0000000,17
INDL,Indalsalven,EU,26581,79794,3,75226,3,65553,2,65751,2,6,0,0.000000000000000,null,null,null,N/A,2,"Norway, Sweden",1.000000000000000,0.000000000000000,4784.755241820000265,0.000000000000000,0.000000000000000,22.000000000000000,111844.0000000,4
INDU,Indus,AS,855875,229069384,268,258279235,302,233730413,273,256555905,300,31,52,136.000000000000000,210,294710,105990,3,7,"Afghanistan, Aksai Chin, China, China/India, India, Jammu and Kashmir, Pakistan",14.000000000000000,1.000000000000000,7764.815126759999657,286.000000000000000,332.000000000000000,115.000000000000000,244604000.0000000,286
IRWD,Irrawaddy,AS,375388,35818269,95,40435984,108,35011347,93,36323121,97,11,4,27.000000000000000,1470,8650,3190,5,3,"China, India, Myanmar",3.000000000000000,0.000000000000000,3621.874817070000063,5.000000000000000,5.000000000000000,115.000000000000000,28993600.0000000,77
ISNZ,Isonzo,EU,3357,329597,98,334013,99,297282,89,292944,87,0,6,6.000000000000000,1060,510,100,4,2,"Italy, Slovenia",4.000000000000000,0.000000000000000,3.857967367550000,0.000000000000000,0.000000000000000,8.000000000000000,305851.0000000,91
JAPR,Jayapura,AS,5253,250579,48,435632,83,445266,85,551753,105,0,0,0.000000000000000,740,10,0,3,2,"Indonesia, Papua New Guinea",0.000000000000000,0.000000000000000,116.683717364000003,0.000000000000000,0.000000000000000,1.000000000000000,581267.0000000,111
JCBS,Jacobs,EU,944,1015,1,704,1,1343,1,1327,1,0,0,0.000000000000000,240,0,0,3,2,"Norway, Russian Federation",1.000000000000000,0.000000000000000,114.033863736000001,0.000000000000000,0.000000000000000,0.000000000000000,1230.9599609,1
JORD,Jordan,AS,45005,11497883,255,11978813,266,12087092,269,13165407,293,0,0,0.000000000000000,120,6190,2340,1,6,"Egypt, Israel, Jordan, Lebanon, Syrian Arab Republic, West Bank",11.000000000000000,3.000000000000000,907.593683043000055,416.000000000000000,583.000000000000000,24.000000000000000,13530300.0000000,301
JUBA,Juba-Shibeli,AF,792350,27415780,35,35128326,44,36838346,46,43488238,55,1,1,2.000000000000000,70,2400,1150,4,3,"Ethiopia, Kenya, Somalia",4.000000000000000,0.000000000000000,617.255963278999957,1.000000000000000,2.000000000000000,3.000000000000000,35344600.0000000,45
JURD,Jurado,SA,918,2340,3,2389,3,2808,3,2591,3,0,0,0.000000000000000,2490,0,0,3,2,"Colombia, Panama",0.000000000000000,0.000000000000000,3.647076649830000,0.000000000000000,0.000000000000000,0.000000000000000,467.7210083,1
KALD,Kaladan,AS,23698,1282766,54,1516394,64,1201871,51,1213885,51,0,0,0.000000000000000,2160,80,20,3,2,"India, Myanmar",0.000000000000000,0.000000000000000,268.596376330999988,1.000000000000000,1.000000000000000,1.000000000000000,1053630.0000000,44
KEMI,Kemi,EU,53893,64860,1,60947,1,62877,1,61833,1,9,0,0.000000000000000,340,30,10,2,2,"Finland, Russian Federation",2.000000000000000,1.000000000000000,9649.550174849999166,0.000000000000000,0.000000000000000,17.000000000000000,100269.0000000,2
KGNK,Kogilnik,EU,3972,216238,54,191649,48,178597,45,174430,44,0,0,0.000000000000000,130,80,20,3,2,"Moldova, Republic of, Ukraine",2.000000000000000,0.000000000000000,27.530254435800000,2.000000000000000,2.000000000000000,0.000000000000000,195843.0000000,49
KMOE,Komoe,AF,83391,5996410,72,7207727,86,7484254,90,8521992,102,6,0,4.000000000000000,230,710,80,3,4,"Burkina Faso, Cote d'Ivoire, Ghana, Mali",0.000000000000000,0.000000000000000,573.929288504000056,0.000000000000000,0.000000000000000,9.000000000000000,6227210.0000000,75
KNFL,Karnaphuli,AS,13909,7836799,563,8363896,601,7296802,525,7680615,552,1,0,0.000000000000000,1610,2940,750,2,2,"Bangladesh, India",1.000000000000000,1.000000000000000,472.559059574999992,10.000000000000000,10.000000000000000,3.000000000000000,6454000.0000000,464
KOWL,Kowl E Namaksar,AS,42272,331887,8,454523,11,573672,14,637256,15,0,0,0.000000000000000,40,3510,1890,3,2,"Afghanistan, Iran  (Islamic Republic of)",0.000000000000000,0.000000000000000,0.446868807052000,0.000000000000000,0.000000000000000,0.000000000000000,271314.0000000,6
KRKA,Krka,EU,2488,85627,34,87942,35,65171,26,63691,26,0,2,1.000000000000000,750,90,10,5,2,"Bosnia and Herzegovina, Croatia",0.000000000000000,0.000000000000000,5.681505692460000,0.000000000000000,0.000000000000000,1.000000000000000,66070.2968750,27
KRLV,Klaralven,EU,50092,677051,14,644294,13,629297,13,631491,13,5,0,0.000000000000000,410,600,140,2,2,"Norway, Sweden",2.000000000000000,0.000000000000000,10493.948768800000835,0.000000000000000,0.000000000000000,31.000000000000000,921468.0000000,18
KUNE,Kunene,AF,108563,2171921,20,3279072,30,3679576,34,3606895,33,5,3,3.000000000000000,110,240,80,3,2,"Angola, Namibia",8.000000000000000,3.000000000000000,817.347351488999948,10.000000000000000,11.000000000000000,11.000000000000000,5110300.0000000,47
KURA,Kura-Araks,AS,189893,15010215,79,16162397,85,13984636,74,14092972,74,13,0,9.000000000000000,130,26280,13090,2,5,"Armenia, Azerbaijan, Georgia, Iran  (Islamic Republic of), Turkey",15.000000000000000,1.000000000000000,3011.546888270000181,25.000000000000000,33.000000000000000,54.000000000000000,14308500.0000000,75
LAVA,Lava/Pregel,EU,14466,1041833,72,1048508,72,881397,61,875145,60,0,0,0.000000000000000,330,250,40,3,3,"Lithuania, Poland, Russian Federation",3.000000000000000,0.000000000000000,425.272499985000024,0.000000000000000,0.000000000000000,2.000000000000000,1238480.0000000,86
LGFL,Laguna Filaret,SA,2057,564,0,156,0,2360,1,2477,1,0,0,0.000000000000000,null,null,null,N/A,2,"Argentina, Chile",3.000000000000000,0.000000000000000,72.233598728600001,0.000000000000000,0.000000000000000,0.000000000000000,424.4760132,0
LGPS,Lotagipi Swamp,AF,31760,417997,13,594201,19,913608,29,1269373,40,0,0,0.000000000000000,50,10,0,3,5,"Ethiopia, Ilemi triangle, Kenya, South Sudan, Uganda",2.000000000000000,0.000000000000000,25.885463633699999,0.000000000000000,0.000000000000000,0.000000000000000,809899.0000000,26
LIMA,Lima,EU,2469,136017,55,157787,64,119181,48,113023,46,4,0,0.000000000000000,870,340,180,1,2,"Portugal, Spain",5.000000000000000,1.000000000000000,22.299537452199999,8.000000000000000,8.000000000000000,4.000000000000000,113481.0000000,46
LKAZ,Lake Azuei,NA,914,269508,295,179330,196,135583,148,138578,152,0,0,0.000000000000000,null,null,null,N/A,2,"Dominican Republic, Haiti",2.000000000000000,0.000000000000000,140.141977792999995,0.000000000000000,0.000000000000000,0.000000000000000,136586.0000000,149
LKCH,Lake Chad,AF,2596866,60984808,23,72263783,28,74062939,29,85168593,33,16,0,2.000000000000000,70,3260,1300,4,8,"Algeria, Cameroon, Central African Republic, Chad, Libya, Niger, Nigeria, Sudan",4.000000000000000,1.000000000000000,21501.435250700000324,7.000000000000000,22.000000000000000,23.000000000000000,67006000.0000000,26
LKCW,Lake Chilwa,AF,8752,2043543,233,2462423,281,2158072,247,2278044,260,0,0,0.000000000000000,null,null,null,N/A,2,"Malawi, Mozambique",1.000000000000000,0.000000000000000,1814.698162339999953,0.000000000000000,0.000000000000000,1.000000000000000,1999310.0000000,228
LKCY,Lake Cayo,AF,3552,91548,26,109587,31,349588,98,295941,83,0,0,0.000000000000000,null,null,null,N/A,2,"Angola, Congo",0.000000000000000,0.000000000000000,147.099803516999998,0.000000000000000,0.000000000000000,0.000000000000000,188704.0000000,53
LKDR,Lak Dera,AF,5427,52580,10,52653,10,59255,11,81644,15,0,0,0.000000000000000,null,null,null,N/A,2,"Kenya, Somalia",0.000000000000000,0.000000000000000,27.136696293499998,0.000000000000000,0.000000000000000,0.000000000000000,71800.6015625,13
LKEQ,Lake Enriquillo,NA,3067,209731,68,235486,77,226227,74,239735,78,0,0,0.000000000000000,null,null,null,N/A,2,"Dominican Republic, Haiti",2.000000000000000,0.000000000000000,386.583853039000019,0.000000000000000,0.000000000000000,0.000000000000000,178517.0000000,58
LKFN,Lake Fagnano,SA,3557,3139,1,2048,1,14055,4,15736,4,0,0,0.000000000000000,260,10,0,3,2,"Argentina, Chile",3.000000000000000,1.000000000000000,681.267959937999990,0.000000000000000,0.000000000000000,0.000000000000000,3164.3000488,1
LKNT,Lake Natron,AF,27280,982125,36,1288963,47,1204861,44,1376378,50,0,0,1.000000000000000,100,440,110,3,2,"Kenya, United Republic of Tanzania",2.000000000000000,0.000000000000000,387.824893954000004,0.000000000000000,0.000000000000000,0.000000000000000,1005200.0000000,37
LKPP,Lake Prespa,EU,7704,921008,120,683019,89,531116,69,478427,62,0,0,4.000000000000000,600,1070,440,4,3,"Albania, Greece, Republic of North Macedonia",6.000000000000000,1.000000000000000,337.439259988999993,0.000000000000000,0.000000000000000,6.000000000000000,450089.0000000,58
LKRW,Lake Rukwa,AF,79274,3306690,42,3933070,50,4183885,53,4976983,63,0,0,2.000000000000000,null,null,null,N/A,2,"United Republic of Tanzania, Zambia",0.000000000000000,0.000000000000000,5809.694321660000242,0.000000000000000,0.000000000000000,0.000000000000000,4168700.0000000,53
LKSG,Lake Sarygamesh,AS,72434,2685968,37,2696145,37,1827398,25,1931090,27,0,0,0.000000000000000,null,null,null,N/A,2,"Turkmenistan, Uzbekistan",2.000000000000000,0.000000000000000,4113.912652750000234,0.000000000000000,0.000000000000000,0.000000000000000,2940870.0000000,41
LKTC,Lake Titicaca-Poopo System,SA,112240,4165448,37,4475976,40,4069728,36,4332854,39,1,0,0.000000000000000,150,750,210,1,3,"Bolivia, Chile, Peru",6.000000000000000,2.000000000000000,10187.575514699999985,3.000000000000000,3.000000000000000,2.000000000000000,3427470.0000000,31
LKTK,Lake Turkana,AF,173144,17668301,102,20202883,117,20818526,120,23792841,137,1,4,7.000000000000000,370,740,220,5,5,"Ethiopia, Ilemi triangle, Kenya, South Sudan, Uganda",3.000000000000000,0.000000000000000,8463.364365839999664,0.000000000000000,0.000000000000000,9.000000000000000,18939000.0000000,109
LKUN,Lake Ubsa-Nur,AS,70328,111136,2,88517,1,68945,1,63028,1,0,0,0.000000000000000,20,140,60,3,2,"Mongolia, Russian Federation",2.000000000000000,0.000000000000000,4369.963775309999619,0.000000000000000,0.000000000000000,0.000000000000000,76572.3984375,1
LLUP,Lielupe,EU,17667,625465,35,611498,35,410322,23,394085,22,1,0,0.000000000000000,290,60,20,3,2,"Latvia, Lithuania",2.000000000000000,0.000000000000000,404.441357752999977,1.000000000000000,1.000000000000000,5.000000000000000,570386.0000000,32
LMEL,Lough Melvin,EU,290,8856,31,7419,26,4703,16,5191,18,0,0,0.000000000000000,870,10,0,3,2,"Ireland, U.K. of Great Britain and Northern Ireland",0.000000000000000,0.000000000000000,39.739964613100000,0.000000000000000,0.000000000000000,0.000000000000000,6900.8798828,24
LMPA,Lempa,NA,18216,6947506,381,6230539,342,5303687,291,5493004,302,3,0,1.000000000000000,590,250,50,3,3,"El Salvador, Guatemala, Honduras",2.000000000000000,1.000000000000000,285.532704118000026,2.000000000000000,2.000000000000000,3.000000000000000,4427880.0000000,243
LMPO,Limpopo,AF,406520,20180711,50,22980851,57,23051898,57,24631256,61,101,5,0.000000000000000,50,5840,2230,3,4,"Botswana, Mozambique, South Africa, Zimbabwe",8.000000000000000,4.000000000000000,960.511573581999983,9.000000000000000,26.000000000000000,445.000000000000000,21469400.0000000,53
LMRM,Lagoon Dos Patos-Lagoon Mirim,SA,168695,11099363,66,11096897,66,10083660,60,10158735,60,6,0,11.000000000000000,560,1540,550,1,2,"Brazil, Uruguay",4.000000000000000,1.000000000000000,9986.885949429999528,3.000000000000000,3.000000000000000,567.000000000000000,8684040.0000000,51
LOES,Loes,AS,2567,358045,139,486046,189,437163,170,428913,167,0,0,0.000000000000000,280,2110,60,3,2,"Indonesia, Timor-Leste",0.000000000000000,0.000000000000000,3.653348492740000,0.000000000000000,0.000000000000000,0.000000000000000,473654.0000000,185
LOFF,Loffa,AF,10446,394835,38,432453,41,421181,40,448614,43,0,0,2.000000000000000,1780,0,0,3,2,"Guinea, Liberia",0.000000000000000,0.000000000000000,40.432219273800001,0.000000000000000,0.000000000000000,0.000000000000000,266792.0000000,26
LPTA,La Plata,SA,2981517,143905576,48,149380892,50,136682214,46,141947990,48,80,26,202.000000000000000,340,32090,9080,3,5,"Argentina, Paraguay, Bolivia, Brazil, Uruguay",30.000000000000000,6.000000000000000,137434.705443999991985,151.000000000000000,291.000000000000000,2088.000000000000000,116893000.0000000,39
LSCR,Little Scarcies,AF,18559,1464503,79,1363006,73,1247712,67,1355777,73,0,0,11.000000000000000,1650,70,20,3,2,"Guinea, Sierra Leone",2.000000000000000,0.000000000000000,144.554219278000005,0.000000000000000,0.000000000000000,0.000000000000000,1105510.0000000,60
LUCI,Lucia,NA,2984,0,0,0,0,1,0,2,0,0,0,0.000000000000000,null,null,null,N/A,2,"Canada, United States of America",2.000000000000000,0.000000000000000,56.351724529899997,0.000000000000000,0.000000000000000,0.000000000000000,13.2209997,0
MANA,Mana-Morro,AF,7634,369923,48,331784,43,321832,42,358534,47,0,0,1.000000000000000,1470,10,0,2,3,"Guinea, Liberia, Sierra Leone",0.000000000000000,1.000000000000000,28.285227525600000,0.000000000000000,0.000000000000000,0.000000000000000,366307.0000000,48
MARO,Maro,AS,3319,29042,9,30742,9,17604,5,22839,7,0,0,0.000000000000000,1110,20,10,3,2,"Indonesia, Papua New Guinea",0.000000000000000,0.000000000000000,108.545217213000001,0.000000000000000,0.000000000000000,0.000000000000000,4389.2299805,1
MASS,Massacre,NA,777,206220,265,247113,318,221890,286,220556,284,0,0,0.000000000000000,30,240,90,2,2,"Dominican Republic, Haiti",3.000000000000000,0.000000000000000,9.597487606890001,0.000000000000000,0.000000000000000,0.000000000000000,221708.0000000,285
MAXX,Ma,AS,29487,3882383,132,4074315,138,3603142,122,3621894,123,0,2,2.000000000000000,760,2100,570,5,2,"Lao People's Democratic Republic, Viet Nam",0.000000000000000,0.000000000000000,70.755011763499994,7.000000000000000,7.000000000000000,13.000000000000000,2607430.0000000,88
MBEX,Mbe,AF,8184,48691,6,63106,8,195170,24,206698,25,1,0,2.000000000000000,2730,0,0,3,2,"Equatorial Guinea, Gabon",0.000000000000000,0.000000000000000,481.385110504000011,0.000000000000000,0.000000000000000,1.000000000000000,128258.0000000,16
MDJD,Medjerda,AF,23175,3041892,131,3247136,140,2507093,108,2578868,111,10,0,0.000000000000000,110,3070,1370,3,2,"Algeria, Tunisia",0.000000000000000,0.000000000000000,63.328365782500001,1.000000000000000,1.000000000000000,24.000000000000000,2486690.0000000,107
MEKO,Mekong,AS,781643,88020789,113,86637018,111,76765296,98,77700493,99,20,22,134.000000000000000,650,29560,10260,3,6,"Cambodia, China, Lao People's Democratic Republic, Myanmar, Thailand, Viet Nam",21.000000000000000,3.000000000000000,20774.475347200001124,163.000000000000000,790.000000000000000,425.000000000000000,63175100.0000000,81
MHRI,Muhuri (aka Little Feni),AS,3787,4922382,1300,5055904,1335,4521442,1194,4769726,1259,1,0,0.000000000000000,1320,3010,800,3,2,"Bangladesh, India",1.000000000000000,0.000000000000000,71.309285880299996,0.000000000000000,0.000000000000000,1.000000000000000,4172660.0000000,1102
MINO,Mino,EU,16679,865858,52,856940,51,789485,47,735178,44,17,0,0.000000000000000,750,1830,370,1,2,"Portugal, Spain",8.000000000000000,1.000000000000000,89.411392467799999,10.000000000000000,10.000000000000000,33.000000000000000,754606.0000000,45
MIRA,Mira,SA,10467,822478,79,833455,80,850680,81,886888,85,0,0,1.000000000000000,1030,160,40,5,2,"Colombia, Ecuador",0.000000000000000,0.000000000000000,78.438803303699999,0.000000000000000,0.000000000000000,0.000000000000000,632693.0000000,60
MISS,Mississippi,NA,3264759,90802197,28,94032286,29,85032579,26,86813863,27,710,0,0.000000000000000,220,208010,63360,1,2,"Canada, United States of America",5.000000000000000,1.000000000000000,124345.479839999999967,1.000000000000000,1.000000000000000,1947.000000000000000,84179296.0000000,26
MIUS,Mius,EU,7088,1046350,148,1034655,146,888905,125,842310,119,0,0,0.000000000000000,170,1550,230,3,2,"Ukraine, Russian Federation",2.000000000000000,0.000000000000000,124.981365529000001,1.000000000000000,1.000000000000000,9.000000000000000,772761.0000000,109
MOAX,Moa,AF,19560,2598910,133,2616338,134,2223263,114,2367477,121,0,0,1.000000000000000,1680,50,10,3,3,"Guinea, Liberia, Sierra Leone",1.000000000000000,0.000000000000000,88.962171719599993,0.000000000000000,0.000000000000000,0.000000000000000,1823710.0000000,93
MOHO,Moho,NA,1189,12654,11,15591,13,26953,23,30272,25,0,0,0.000000000000000,1870,0,0,3,2,"Belize, Guatemala",0.000000000000000,0.000000000000000,11.609181219000000,0.000000000000000,0.000000000000000,0.000000000000000,18115.8007812,15
MONO,Mono,AF,23988,3109651,130,3648116,152,3429185,143,3770094,157,1,1,2.000000000000000,330,70,10,5,2,"Benin, Togo",0.000000000000000,0.000000000000000,171.728546628000004,0.000000000000000,0.000000000000000,1.000000000000000,3197850.0000000,133
MOTQ,Motaqua,NA,16271,4595546,282,5083290,312,5404048,332,5802231,357,0,0,0.000000000000000,840,430,80,3,2,"Guatemala, Honduras",0.000000000000000,0.000000000000000,67.755502893699997,0.000000000000000,0.000000000000000,0.000000000000000,4226390.0000000,260
MPUT,Maputo,AF,30582,1901387,62,2201079,72,1941511,63,1998676,65,10,0,2.000000000000000,120,450,150,1,3,"Eswatini, Mozambique, South Africa",5.000000000000000,1.000000000000000,433.396104508999997,4.000000000000000,8.000000000000000,22.000000000000000,1585480.0000000,52
MRGB,Murgab,AS,93335,2547548,27,2721567,29,2208271,24,2522760,27,1,0,0.000000000000000,90,7030,3340,3,2,"Afghanistan, Turkmenistan",2.000000000000000,0.000000000000000,132.400955686000003,2.000000000000000,2.000000000000000,4.000000000000000,2995600.0000000,32
MRNI,Maroni,SA,66277,79647,1,157088,2,96129,1,115979,2,0,0,0.000000000000000,870,10,0,2,2,"French Guiana, Suriname",1.000000000000000,0.000000000000000,640.927466365999976,0.000000000000000,0.000000000000000,0.000000000000000,123929.0000000,2
MRSA,Maritsa,EU,52483,3843291,73,3857416,73,3464542,66,3467537,66,26,4,4.000000000000000,230,6400,2150,4,3,"Bulgaria, Greece, Turkey",2.000000000000000,0.000000000000000,468.460410235999973,14.000000000000000,14.000000000000000,51.000000000000000,3690210.0000000,70
MTJE,Mataje,SA,1008,23766,24,40264,40,60702,60,64961,64,0,0,0.000000000000000,910,10,0,3,2,"Colombia, Ecuador",0.000000000000000,0.000000000000000,337.687781764000022,0.000000000000000,0.000000000000000,0.000000000000000,39345.6015625,39
NAAF,Naaf River,AS,1610,748486,465,928142,576,493509,307,540377,336,0,0,0.000000000000000,null,null,null,N/A,2,"Bangladesh, Myanmar",0.000000000000000,0.000000000000000,107.827091199999998,0.000000000000000,0.000000000000000,0.000000000000000,551721.0000000,343
NAAT,Naatamo,EU,719,2520,4,1750,2,689,1,702,1,0,0,0.000000000000000,0,0,0,1,2,"Finland, Norway",2.000000000000000,1.000000000000000,84.635384094800003,0.000000000000000,0.000000000000000,0.000000000000000,6457.3300781,9
NDLV,Nidelva,EU,3104,60394,19,65748,21,36508,12,39156,13,2,0,0.000000000000000,null,null,null,N/A,2,"Norway, Sweden",1.000000000000000,0.000000000000000,519.087510153000039,0.000000000000000,0.000000000000000,5.000000000000000,114744.0000000,37
NEGR,Negro,NA,6160,457802,74,474855,77,525572,85,523767,85,0,0,0.000000000000000,910,120,40,3,2,"Honduras, Nicaragua",0.000000000000000,0.000000000000000,614.036939907000033,0.000000000000000,0.000000000000000,0.000000000000000,308327.0000000,50
NELS,Nelson-Saskatchewan,NA,1088785,5635879,5,5989351,6,5712974,5,6081943,6,90,0,3.000000000000000,90,11240,3810,1,2,"Canada, United States of America",7.000000000000000,1.000000000000000,178092.199122999998508,27.000000000000000,27.000000000000000,162.000000000000000,7745220.0000000,7
NGER,Niger,AF,2132247,135764312,64,169721071,80,167275731,78,192957770,90,56,7,39.000000000000000,160,8330,2730,3,11,"Algeria, Benin, Burkina Faso, Cameroon, Chad, Cote d'Ivoire, Guinea, Mali, Mauritania, Niger, Nigeria",18.000000000000000,3.000000000000000,13513.951669199999742,12.000000000000000,98.000000000000000,104.000000000000000,153360000.0000000,72
NHRK,Nahr El Kebir,AS,1598,663781,415,820409,513,578954,362,634365,397,0,0,0.000000000000000,0,0,0,3,2,"Syrian Arab Republic, Turkey",3.000000000000000,0.000000000000000,11.376339051100000,6.000000000000000,6.000000000000000,5.000000000000000,582429.0000000,364
NILE,Nile,AF,2961325,298258732,101,332308346,112,326068730,110,366651792,124,11,16,47.000000000000000,130,78400,43870,3,14,"Abyei, Burundi, Democratic Republic of the Congo, Egypt, Eritrea, Ethiopia, Hala'ib triangle, Kenya, Ma'tan al-Sarra, Rwanda, South Sudan, Sudan, Uganda, United Republic of Tanzania",31.000000000000000,5.000000000000000,125808.331535000004806,235.000000000000000,473.000000000000000,62.000000000000000,290823008.0000000,98
NMAN,Neman,EU,92929,4052610,44,3925004,42,3244712,35,3140453,34,2,0,1.000000000000000,220,880,220,2,5,"Belarus, Latvia, Lithuania, Poland, Russian Federation",14.000000000000000,0.000000000000000,1983.681993720000037,6.000000000000000,11.000000000000000,16.000000000000000,3925320.0000000,42
NRTV,Neretva,EU,6808,530633,78,388001,57,346479,51,344533,51,4,4,4.000000000000000,1050,420,30,5,2,"Bosnia and Herzegovina, Croatia",0.000000000000000,0.000000000000000,84.196355091399994,4.000000000000000,4.000000000000000,6.000000000000000,320998.0000000,47
NRVA,Narva,EU,56519,828075,15,781945,14,603738,11,558705,10,0,0,0.000000000000000,260,1360,50,2,4,"Belarus, Estonia, Latvia, Russian Federation",7.000000000000000,1.000000000000000,7133.956320199999936,4.000000000000000,5.000000000000000,3.000000000000000,790265.0000000,14
NSTO,Nestos,EU,5950,156396,26,152576,26,164703,28,159110,27,3,0,0.000000000000000,300,280,150,3,2,"Bulgaria, Greece",3.000000000000000,0.000000000000000,52.990800712700000,7.000000000000000,7.000000000000000,4.000000000000000,147363.0000000,25
NYGA,Nyanga,AF,24963,119950,5,143387,6,119865,5,111824,4,0,0,0.000000000000000,1290,10,0,3,2,"Congo, Gabon",0.000000000000000,0.000000000000000,145.307624406999992,0.000000000000000,0.000000000000000,0.000000000000000,50410.8984375,2
NYNK,Narynka,EU,91995,259499,3,243596,3,265920,3,257324,3,0,0,0.000000000000000,null,null,null,N/A,2,"Kazakhstan, Russian Federation",2.000000000000000,0.000000000000000,495.939705947999983,0.000000000000000,0.000000000000000,13.000000000000000,214623.0000000,2
